ips_allocated,subnet_id,subnet_size,month,year,avg_ips_allocated_last_month
96,4,128,2,2023,83.74193548387096
18,8,128,9,2023,81.38709677419355
92,9,128,12,2023,73.7
82,8,128,1,2023,0.0
67,3,128,5,2023,81.36666666666666
108,2,128,7,2023,90.7
62,4,128,7,2023,83.76666666666667
100,1,128,5,2023,86.53333333333333
87,3,128,3,2023,73.82142857142857
48,6,128,5,2023,95.36666666666666
180,7,256,4,2023,82.93548387096774
4,4,256,1,2023,0.0
1,10,128,4,2023,90.0
9,4,256,5,2023,84.0
1,9,256,1,2023,0.0
220,1,256,2,2023,96.25806451612904
34,7,256,2,2023,66.80645161290323
112,2,128,5,2023,73.53333333333333
85,3,256,6,2023,114.2258064516129
0,8,256,9,2023,81.38709677419355
3,4,128,6,2023,80.35483870967742
47,6,128,12,2023,88.76666666666667
80,7,128,5,2023,86.1
212,9,256,9,2023,104.35483870967742
116,2,256,8,2023,73.7741935483871
165,4,256,11,2023,80.58064516129032
105,4,128,8,2023,88.51612903225806
193,10,256,8,2023,101.16129032258064
15,7,256,9,2023,69.12903225806451
56,6,256,8,2023,108.06451612903226
26,5,128,4,2023,81.90322580645162
87,1,256,8,2023,78.80645161290323
137,4,256,9,2023,90.12903225806451
15,9,128,7,2023,77.43333333333334
10,3,128,2,2023,91.03225806451613
169,10,256,8,2023,101.16129032258064
104,9,256,8,2023,86.7741935483871
37,4,128,6,2023,80.35483870967742
114,3,128,8,2023,100.80645161290323
104,3,128,6,2023,114.2258064516129
73,10,128,12,2023,83.86666666666666
54,4,256,8,2023,88.51612903225806
200,7,256,1,2023,0.0
193,6,256,9,2023,77.16129032258064
40,1,128,12,2023,92.3
54,10,128,10,2023,85.7
26,8,128,5,2023,86.3
149,10,256,10,2023,85.7
49,7,256,3,2023,74.57142857142857
142,10,256,8,2023,101.16129032258064
30,7,256,3,2023,74.57142857142857
66,2,128,3,2023,89.17857142857143
57,2,256,2,2023,74.45161290322581
1,5,256,12,2023,75.5
18,3,128,12,2023,74.53333333333333
171,1,256,3,2023,84.67857142857143
202,4,256,9,2023,90.12903225806451
75,5,128,4,2023,81.90322580645162
82,1,128,2,2023,96.25806451612904
104,3,128,3,2023,73.82142857142857
35,4,128,10,2023,93.83333333333333
64,6,128,2,2023,85.16129032258064
1,5,128,6,2023,97.3225806451613
91,3,128,5,2023,81.36666666666666
27,1,256,6,2023,85.35483870967742
34,1,256,3,2023,84.67857142857143
228,8,256,4,2023,82.6774193548387
168,6,256,6,2023,89.74193548387096
148,9,256,9,2023,104.35483870967742
4,3,256,5,2023,81.36666666666666
19,7,128,7,2023,77.43333333333334
92,10,256,8,2023,101.16129032258064
57,6,128,7,2023,76.76666666666667
59,3,128,4,2023,81.41935483870968
107,10,256,1,2023,0.0
38,3,256,8,2023,100.80645161290323
95,8,128,7,2023,84.0
87,1,128,3,2023,84.67857142857143
1,7,128,10,2023,73.3
49,5,128,8,2023,77.87096774193549
111,9,128,5,2023,69.3
10,6,256,2,2023,85.16129032258064
56,5,256,7,2023,71.56666666666666
28,3,128,4,2023,81.41935483870968
88,7,256,7,2023,77.43333333333334
81,10,128,8,2023,101.16129032258064
76,7,128,8,2023,90.35483870967742
114,2,256,3,2023,89.17857142857143
153,7,256,12,2023,86.03333333333333
50,2,128,4,2023,98.90322580645162
140,1,256,9,2023,95.54838709677419
102,2,256,2,2023,74.45161290322581
36,3,128,8,2023,100.80645161290323
111,5,128,6,2023,97.3225806451613
103,4,256,10,2023,93.83333333333333
26,2,128,4,2023,98.90322580645162
146,7,256,8,2023,90.35483870967742
46,6,256,6,2023,89.74193548387096
157,5,256,5,2023,79.4
61,10,256,4,2023,90.0
1,4,128,8,2023,88.51612903225806
53,1,128,6,2023,85.35483870967742
56,6,128,5,2023,95.36666666666666
30,8,128,2,2023,94.0
76,10,128,4,2023,90.0
112,7,128,2,2023,66.80645161290323
36,1,128,3,2023,84.67857142857143
91,2,256,8,2023,73.7741935483871
2,5,128,7,2023,71.56666666666666
105,8,256,3,2023,86.14285714285714
45,6,128,11,2023,78.64516129032258
39,9,256,5,2023,69.3
57,9,256,1,2023,0.0
57,7,256,9,2023,69.12903225806451
95,8,256,3,2023,86.14285714285714
73,7,256,1,2023,0.0
139,6,256,3,2023,49.392857142857146
48,3,256,3,2023,73.82142857142857
138,8,256,9,2023,81.38709677419355
15,9,128,9,2023,104.35483870967742
41,7,128,5,2023,86.1
74,9,256,6,2023,89.0
50,7,128,3,2023,74.57142857142857
10,1,128,7,2023,86.26666666666667
58,6,128,8,2023,108.06451612903226
90,10,128,9,2023,99.70967741935483
82,10,128,3,2023,105.53571428571429
230,6,256,4,2023,98.90322580645162
57,3,256,1,2023,0.0
104,8,128,9,2023,81.38709677419355
77,1,256,11,2023,78.90322580645162
10,4,256,7,2023,83.76666666666667
29,3,128,6,2023,114.2258064516129
165,10,256,3,2023,105.53571428571429
96,2,256,4,2023,98.90322580645162
7,2,256,10,2023,87.86666666666666
19,10,256,9,2023,99.70967741935483
129,5,256,6,2023,97.3225806451613
3,4,128,12,2023,78.33333333333333
150,10,256,9,2023,99.70967741935483
58,1,128,8,2023,78.80645161290323
200,3,256,1,2023,0.0
6,10,128,12,2023,83.86666666666666
91,9,256,7,2023,77.43333333333334
81,9,128,1,2023,0.0
88,7,128,1,2023,0.0
65,4,256,5,2023,84.0
54,5,128,12,2023,75.5
112,5,256,5,2023,79.4
3,5,128,4,2023,81.90322580645162
81,6,128,3,2023,49.392857142857146
10,2,128,9,2023,85.09677419354838
80,9,256,12,2023,73.7
65,2,256,12,2023,78.2
81,8,128,8,2023,95.61290322580645
181,10,256,8,2023,101.16129032258064
140,8,256,5,2023,86.3
22,8,256,8,2023,95.61290322580645
120,5,256,11,2023,89.83870967741936
2,7,128,8,2023,90.35483870967742
41,9,128,2,2023,86.58064516129032
66,5,128,10,2023,58.96666666666667
50,10,128,9,2023,99.70967741935483
107,2,256,4,2023,98.90322580645162
23,7,128,3,2023,74.57142857142857
111,10,128,7,2023,80.43333333333334
183,10,256,2,2023,79.96774193548387
80,10,256,10,2023,85.7
108,3,256,11,2023,90.06451612903226
120,9,256,12,2023,73.7
229,5,256,7,2023,71.56666666666666
87,9,256,10,2023,78.0
70,8,256,3,2023,86.14285714285714
54,3,256,10,2023,84.73333333333333
62,5,256,12,2023,75.5
54,7,128,1,2023,0.0
127,7,256,7,2023,77.43333333333334
190,3,256,11,2023,90.06451612903226
34,8,256,11,2023,104.2258064516129
84,8,128,9,2023,81.38709677419355
45,5,128,8,2023,77.87096774193549
167,2,256,3,2023,89.17857142857143
17,5,128,6,2023,97.3225806451613
95,2,128,8,2023,73.7741935483871
134,6,256,5,2023,95.36666666666666
41,4,256,3,2023,84.0
9,5,128,10,2023,58.96666666666667
62,6,128,3,2023,49.392857142857146
204,10,256,6,2023,95.16129032258064
23,10,256,11,2023,89.09677419354838
40,1,128,11,2023,78.90322580645162
93,7,128,4,2023,82.93548387096774
129,8,256,12,2023,95.6
9,9,128,2,2023,86.58064516129032
73,5,128,10,2023,58.96666666666667
88,9,128,12,2023,73.7
48,8,128,11,2023,104.2258064516129
62,7,256,8,2023,90.35483870967742
34,4,256,8,2023,88.51612903225806
106,10,256,10,2023,85.7
25,2,128,4,2023,98.90322580645162
4,7,256,6,2023,105.6774193548387
88,4,128,3,2023,84.0
6,2,256,1,2023,0.0
94,1,128,5,2023,86.53333333333333
20,2,128,1,2023,0.0
79,7,128,9,2023,69.12903225806451
197,10,256,2,2023,79.96774193548387
95,6,128,1,2023,0.0
192,9,256,3,2023,78.5
65,6,256,12,2023,88.76666666666667
29,7,128,8,2023,90.35483870967742
129,7,256,12,2023,86.03333333333333
198,7,256,8,2023,90.35483870967742
5,9,256,6,2023,89.0
71,7,128,12,2023,86.03333333333333
93,2,256,12,2023,78.2
34,9,256,6,2023,89.0
202,10,256,1,2023,0.0
16,5,128,3,2023,78.35714285714286
190,9,256,7,2023,77.43333333333334
78,6,128,2,2023,85.16129032258064
70,3,128,10,2023,84.73333333333333
19,5,256,9,2023,59.38709677419355
56,8,128,6,2023,89.48387096774194
12,3,128,9,2023,107.09677419354838
109,8,128,11,2023,104.2258064516129
29,7,256,3,2023,74.57142857142857
184,5,256,12,2023,75.5
98,3,128,12,2023,74.53333333333333
67,1,128,12,2023,92.3
45,9,128,4,2023,78.6774193548387
56,3,256,12,2023,74.53333333333333
93,3,128,12,2023,74.53333333333333
165,8,256,10,2023,83.53333333333333
89,6,128,2,2023,85.16129032258064
85,5,128,12,2023,75.5
202,5,256,4,2023,81.90322580645162
191,10,256,10,2023,85.7
120,6,256,10,2023,95.46666666666667
212,6,256,7,2023,76.76666666666667
59,7,128,2,2023,66.80645161290323
54,9,256,5,2023,69.3
106,8,128,7,2023,84.0
80,10,128,1,2023,0.0
146,7,256,12,2023,86.03333333333333
31,3,256,2,2023,91.03225806451613
75,4,128,6,2023,80.35483870967742
28,3,128,6,2023,114.2258064516129
81,9,128,1,2023,0.0
21,8,128,2,2023,94.0
119,4,256,12,2023,78.33333333333333
82,9,128,3,2023,78.5
1,9,256,10,2023,78.0
68,8,128,1,2023,0.0
172,2,256,3,2023,89.17857142857143
169,10,256,2,2023,79.96774193548387
86,3,128,11,2023,90.06451612903226
141,10,256,7,2023,80.43333333333334
68,10,128,11,2023,89.09677419354838
12,8,128,7,2023,84.0
86,5,128,5,2023,79.4
9,3,256,2,2023,91.03225806451613
127,1,256,1,2023,0.0
88,4,128,5,2023,84.0
136,1,256,5,2023,86.53333333333333
200,2,256,3,2023,89.17857142857143
46,3,128,7,2023,72.1
5,10,256,9,2023,99.70967741935483
200,7,256,2,2023,66.80645161290323
70,4,128,4,2023,74.09677419354838
124,3,256,2,2023,91.03225806451613
228,5,256,12,2023,75.5
222,4,256,8,2023,88.51612903225806
72,3,256,3,2023,73.82142857142857
33,4,128,11,2023,80.58064516129032
42,2,128,10,2023,87.86666666666666
52,5,128,3,2023,78.35714285714286
65,4,256,10,2023,93.83333333333333
162,6,256,3,2023,49.392857142857146
50,9,128,4,2023,78.6774193548387
70,7,128,1,2023,0.0
183,3,256,4,2023,81.41935483870968
34,4,256,10,2023,93.83333333333333
220,4,256,1,2023,0.0
198,1,256,7,2023,86.26666666666667
57,6,256,11,2023,78.64516129032258
132,8,256,4,2023,82.6774193548387
114,9,256,1,2023,0.0
15,3,256,12,2023,74.53333333333333
24,2,128,3,2023,89.17857142857143
82,10,128,2,2023,79.96774193548387
135,9,256,2,2023,86.58064516129032
227,6,256,9,2023,77.16129032258064
22,6,256,2,2023,85.16129032258064
26,3,256,2,2023,91.03225806451613
22,3,128,9,2023,107.09677419354838
78,6,128,7,2023,76.76666666666667
32,9,256,10,2023,78.0
63,5,256,1,2023,0.0
4,2,256,11,2023,84.12903225806451
111,9,128,2,2023,86.58064516129032
211,10,256,9,2023,99.70967741935483
220,10,256,10,2023,85.7
79,9,128,5,2023,69.3
15,7,256,4,2023,82.93548387096774
13,2,256,7,2023,90.7
12,6,128,1,2023,0.0
116,3,256,3,2023,73.82142857142857
75,6,256,12,2023,88.76666666666667
183,6,256,7,2023,76.76666666666667
90,1,256,5,2023,86.53333333333333
37,4,256,1,2023,0.0
19,2,256,4,2023,98.90322580645162
187,8,256,7,2023,84.0
110,6,128,8,2023,108.06451612903226
106,5,256,12,2023,75.5
114,4,128,7,2023,83.76666666666667
17,4,128,10,2023,93.83333333333333
173,9,256,12,2023,73.7
86,2,128,8,2023,73.7741935483871
88,6,128,4,2023,98.90322580645162
190,1,256,10,2023,71.93333333333334
73,7,256,3,2023,74.57142857142857
10,7,128,1,2023,0.0
102,5,256,1,2023,0.0
37,7,256,12,2023,86.03333333333333
41,6,256,9,2023,77.16129032258064
193,9,256,8,2023,86.7741935483871
25,3,256,11,2023,90.06451612903226
28,1,128,3,2023,84.67857142857143
42,2,128,7,2023,90.7
44,4,256,11,2023,80.58064516129032
97,3,128,10,2023,84.73333333333333
9,4,128,8,2023,88.51612903225806
122,7,256,11,2023,84.19354838709677
113,4,128,1,2023,0.0
97,8,128,5,2023,86.3
44,1,128,11,2023,78.90322580645162
224,2,256,10,2023,87.86666666666666
79,2,128,7,2023,90.7
18,5,128,8,2023,77.87096774193549
24,2,128,2,2023,74.45161290322581
186,1,256,5,2023,86.53333333333333
80,6,128,10,2023,95.46666666666667
124,7,256,5,2023,86.1
9,8,128,10,2023,83.53333333333333
141,9,256,6,2023,89.0
42,9,128,2,2023,86.58064516129032
136,2,256,7,2023,90.7
39,9,256,11,2023,78.45161290322581
59,5,128,3,2023,78.35714285714286
1,10,128,10,2023,85.7
93,9,256,8,2023,86.7741935483871
30,4,256,4,2023,74.09677419354838
69,2,128,6,2023,83.25806451612904
51,7,256,12,2023,86.03333333333333
48,9,256,6,2023,89.0
229,3,256,4,2023,81.41935483870968
1,10,128,7,2023,80.43333333333334
43,5,128,1,2023,0.0
15,4,128,4,2023,74.09677419354838
34,3,256,4,2023,81.41935483870968
150,3,256,8,2023,100.80645161290323
96,7,128,6,2023,105.6774193548387
171,3,256,1,2023,0.0
34,3,128,11,2023,90.06451612903226
138,1,256,11,2023,78.90322580645162
119,6,256,7,2023,76.76666666666667
8,7,256,12,2023,86.03333333333333
13,8,128,5,2023,86.3
64,8,128,5,2023,86.3
140,5,256,7,2023,71.56666666666666
51,10,128,10,2023,85.7
152,5,256,10,2023,58.96666666666667
25,7,256,3,2023,74.57142857142857
37,10,128,4,2023,90.0
112,4,256,8,2023,88.51612903225806
28,9,128,10,2023,78.0
19,2,256,1,2023,0.0
211,9,256,6,2023,89.0
161,10,256,5,2023,91.06666666666666
130,4,256,3,2023,84.0
223,3,256,5,2023,81.36666666666666
91,10,128,7,2023,80.43333333333334
49,3,128,10,2023,84.73333333333333
85,7,128,5,2023,86.1
8,5,128,11,2023,89.83870967741936
90,2,128,6,2023,83.25806451612904
51,5,256,8,2023,77.87096774193549
88,1,128,12,2023,92.3
87,7,128,4,2023,82.93548387096774
34,1,128,1,2023,0.0
17,9,256,5,2023,69.3
18,10,256,7,2023,80.43333333333334
111,10,128,8,2023,101.16129032258064
108,8,128,8,2023,95.61290322580645
54,10,128,8,2023,101.16129032258064
194,8,256,12,2023,95.6
134,6,256,3,2023,49.392857142857146
32,7,256,6,2023,105.6774193548387
134,8,256,1,2023,0.0
0,9,128,6,2023,89.0
78,5,256,2,2023,97.87096774193549
29,6,128,3,2023,49.392857142857146
13,6,256,10,2023,95.46666666666667
100,9,256,7,2023,77.43333333333334
172,8,256,5,2023,86.3
90,10,128,9,2023,99.70967741935483
9,1,256,4,2023,63.32258064516129
108,6,128,12,2023,88.76666666666667
104,2,128,8,2023,73.7741935483871
112,2,256,10,2023,87.86666666666666
184,1,256,4,2023,63.32258064516129
134,9,256,11,2023,78.45161290322581
107,1,256,8,2023,78.80645161290323
32,8,128,12,2023,95.6
63,7,256,10,2023,73.3
91,8,256,3,2023,86.14285714285714
49,10,128,11,2023,89.09677419354838
99,1,128,6,2023,85.35483870967742
34,8,128,8,2023,95.61290322580645
76,9,128,10,2023,78.0
86,1,128,10,2023,71.93333333333334
39,5,256,3,2023,78.35714285714286
34,2,128,5,2023,73.53333333333333
91,3,256,12,2023,74.53333333333333
6,1,256,7,2023,86.26666666666667
83,1,128,8,2023,78.80645161290323
39,5,128,5,2023,79.4
72,1,128,1,2023,0.0
143,3,256,6,2023,114.2258064516129
75,5,256,7,2023,71.56666666666666
15,7,256,2,2023,66.80645161290323
80,10,256,6,2023,95.16129032258064
82,4,256,11,2023,80.58064516129032
81,9,128,7,2023,77.43333333333334
166,9,256,12,2023,73.7
67,4,128,9,2023,90.12903225806451
82,10,256,8,2023,101.16129032258064
91,4,256,10,2023,93.83333333333333
226,8,256,11,2023,104.2258064516129
74,7,256,3,2023,74.57142857142857
10,2,256,9,2023,85.09677419354838
225,8,256,10,2023,83.53333333333333
68,10,128,8,2023,101.16129032258064
43,2,128,1,2023,0.0
124,8,256,11,2023,104.2258064516129
52,1,128,1,2023,0.0
62,3,128,7,2023,72.1
193,2,256,7,2023,90.7
132,2,256,2,2023,74.45161290322581
33,6,256,1,2023,0.0
113,5,128,8,2023,77.87096774193549
28,6,128,6,2023,89.74193548387096
207,6,256,12,2023,88.76666666666667
57,8,128,10,2023,83.53333333333333
48,6,256,5,2023,95.36666666666666
47,9,256,11,2023,78.45161290322581
164,8,256,1,2023,0.0
115,2,256,9,2023,85.09677419354838
102,8,256,9,2023,81.38709677419355
50,8,128,5,2023,86.3
113,1,256,9,2023,95.54838709677419
199,2,256,8,2023,73.7741935483871
115,9,128,9,2023,104.35483870967742
28,9,128,4,2023,78.6774193548387
75,7,256,6,2023,105.6774193548387
143,5,256,5,2023,79.4
9,4,256,11,2023,80.58064516129032
70,4,128,7,2023,83.76666666666667
46,9,128,4,2023,78.6774193548387
98,4,256,8,2023,88.51612903225806
96,8,128,1,2023,0.0
163,7,256,3,2023,74.57142857142857
218,10,256,7,2023,80.43333333333334
160,5,256,10,2023,58.96666666666667
176,8,256,2,2023,94.0
34,3,128,3,2023,73.82142857142857
21,9,128,3,2023,78.5
69,7,128,12,2023,86.03333333333333
15,4,128,9,2023,90.12903225806451
113,2,128,6,2023,83.25806451612904
38,8,128,3,2023,86.14285714285714
86,6,128,4,2023,98.90322580645162
55,1,128,7,2023,86.26666666666667
27,1,128,1,2023,0.0
94,3,128,5,2023,81.36666666666666
106,9,256,10,2023,78.0
222,2,256,5,2023,73.53333333333333
73,8,128,10,2023,83.53333333333333
91,7,128,6,2023,105.6774193548387
48,7,128,9,2023,69.12903225806451
77,2,128,4,2023,98.90322580645162
36,5,256,5,2023,79.4
115,9,128,4,2023,78.6774193548387
202,9,256,9,2023,104.35483870967742
33,7,128,12,2023,86.03333333333333
196,2,256,11,2023,84.12903225806451
13,4,256,6,2023,80.35483870967742
51,10,256,6,2023,95.16129032258064
98,9,128,6,2023,89.0
110,8,128,5,2023,86.3
92,6,128,9,2023,77.16129032258064
98,9,256,9,2023,104.35483870967742
69,8,128,1,2023,0.0
208,4,256,4,2023,74.09677419354838
191,9,256,8,2023,86.7741935483871
37,1,128,5,2023,86.53333333333333
118,3,256,3,2023,73.82142857142857
210,3,256,7,2023,72.1
80,1,128,11,2023,78.90322580645162
81,9,256,10,2023,78.0
132,4,256,1,2023,0.0
70,6,128,10,2023,95.46666666666667
86,2,128,12,2023,78.2
54,3,256,11,2023,90.06451612903226
173,5,256,1,2023,0.0
24,10,128,7,2023,80.43333333333334
6,5,128,2,2023,97.87096774193549
43,5,128,4,2023,81.90322580645162
167,9,256,10,2023,78.0
108,2,256,12,2023,78.2
41,7,256,6,2023,105.6774193548387
40,3,128,6,2023,114.2258064516129
57,10,128,10,2023,85.7
69,7,128,6,2023,105.6774193548387
12,8,128,8,2023,95.61290322580645
225,5,256,12,2023,75.5
82,7,128,3,2023,74.57142857142857
166,6,256,7,2023,76.76666666666667
37,3,128,11,2023,90.06451612903226
71,1,128,8,2023,78.80645161290323
172,5,256,8,2023,77.87096774193549
57,10,128,9,2023,99.70967741935483
73,6,128,4,2023,98.90322580645162
27,4,128,12,2023,78.33333333333333
54,1,256,8,2023,78.80645161290323
62,9,128,9,2023,104.35483870967742
174,9,256,2,2023,86.58064516129032
115,1,128,2,2023,96.25806451612904
189,7,256,7,2023,77.43333333333334
55,1,256,9,2023,95.54838709677419
1,2,128,5,2023,73.53333333333333
2,2,256,2,2023,74.45161290322581
103,6,128,4,2023,98.90322580645162
6,9,256,1,2023,0.0
185,9,256,7,2023,77.43333333333334
30,6,128,2,2023,85.16129032258064
22,10,256,12,2023,83.86666666666666
35,4,128,3,2023,84.0
128,8,256,4,2023,82.6774193548387
94,1,128,2,2023,96.25806451612904
151,8,256,9,2023,81.38709677419355
126,6,256,11,2023,78.64516129032258
94,10,128,12,2023,83.86666666666666
196,4,256,6,2023,80.35483870967742
89,1,128,8,2023,78.80645161290323
196,6,256,9,2023,77.16129032258064
195,8,256,10,2023,83.53333333333333
6,4,128,5,2023,84.0
86,2,256,7,2023,90.7
39,5,256,1,2023,0.0
76,6,128,1,2023,0.0
37,5,256,7,2023,71.56666666666666
35,5,128,2,2023,97.87096774193549
54,3,128,2,2023,91.03225806451613
137,9,256,4,2023,78.6774193548387
161,5,256,6,2023,97.3225806451613
47,1,128,1,2023,0.0
63,3,256,4,2023,81.41935483870968
192,3,256,5,2023,81.36666666666666
83,1,256,7,2023,86.26666666666667
0,3,128,3,2023,73.82142857142857
21,3,256,2,2023,91.03225806451613
49,1,128,8,2023,78.80645161290323
34,2,128,3,2023,89.17857142857143
50,1,256,8,2023,78.80645161290323
196,9,256,6,2023,89.0
95,2,256,5,2023,73.53333333333333
156,3,256,12,2023,74.53333333333333
32,10,128,5,2023,91.06666666666666
128,9,256,1,2023,0.0
12,6,128,6,2023,89.74193548387096
198,5,256,1,2023,0.0
160,3,256,12,2023,74.53333333333333
175,3,256,12,2023,74.53333333333333
80,4,128,2,2023,83.74193548387096
49,10,256,5,2023,91.06666666666666
136,10,256,10,2023,85.7
21,3,128,1,2023,0.0
30,2,128,8,2023,73.7741935483871
24,2,256,11,2023,84.12903225806451
97,9,256,4,2023,78.6774193548387
164,4,256,8,2023,88.51612903225806
19,2,256,5,2023,73.53333333333333
31,4,256,9,2023,90.12903225806451
60,2,128,12,2023,78.2
214,4,256,1,2023,0.0
111,1,128,1,2023,0.0
34,7,256,8,2023,90.35483870967742
107,1,128,12,2023,92.3
75,3,256,5,2023,81.36666666666666
33,8,128,3,2023,86.14285714285714
38,4,128,5,2023,84.0
4,9,128,6,2023,89.0
0,4,256,7,2023,83.76666666666667
12,4,256,8,2023,88.51612903225806
149,5,256,12,2023,75.5
214,1,256,11,2023,78.90322580645162
2,4,128,6,2023,80.35483870967742
97,2,128,1,2023,0.0
45,5,128,11,2023,89.83870967741936
27,7,128,2,2023,66.80645161290323
100,9,128,8,2023,86.7741935483871
49,5,256,10,2023,58.96666666666667
119,2,256,7,2023,90.7
17,8,128,6,2023,89.48387096774194
188,9,256,3,2023,78.5
39,3,128,7,2023,72.1
121,4,256,2,2023,83.74193548387096
82,8,128,4,2023,82.6774193548387
132,6,256,10,2023,95.46666666666667
11,8,128,10,2023,83.53333333333333
210,9,256,8,2023,86.7741935483871
161,6,256,10,2023,95.46666666666667
206,9,256,8,2023,86.7741935483871
25,3,128,12,2023,74.53333333333333
92,3,128,2,2023,91.03225806451613
192,3,256,10,2023,84.73333333333333
41,5,128,4,2023,81.90322580645162
200,4,256,5,2023,84.0
166,5,256,8,2023,77.87096774193549
219,1,256,4,2023,63.32258064516129
107,4,128,1,2023,0.0
157,9,256,7,2023,77.43333333333334
25,4,128,4,2023,74.09677419354838
60,4,128,8,2023,88.51612903225806
223,1,256,12,2023,92.3
98,2,128,11,2023,84.12903225806451
80,8,128,12,2023,95.6
117,3,256,12,2023,74.53333333333333
119,6,256,8,2023,108.06451612903226
91,10,256,5,2023,91.06666666666666
34,2,128,2,2023,74.45161290322581
36,7,128,11,2023,84.19354838709677
47,6,128,10,2023,95.46666666666667
62,3,128,5,2023,81.36666666666666
5,8,128,9,2023,81.38709677419355
223,1,256,11,2023,78.90322580645162
112,7,128,10,2023,73.3
171,2,256,11,2023,84.12903225806451
15,5,128,7,2023,71.56666666666666
12,2,128,1,2023,0.0
46,8,128,8,2023,95.61290322580645
204,6,256,1,2023,0.0
44,5,128,4,2023,81.90322580645162
224,8,256,5,2023,86.3
216,10,256,11,2023,89.09677419354838
81,5,128,4,2023,81.90322580645162
105,2,128,4,2023,98.90322580645162
9,6,128,6,2023,89.74193548387096
85,8,256,7,2023,84.0
22,10,256,9,2023,99.70967741935483
4,9,256,12,2023,73.7
29,10,128,4,2023,90.0
56,5,256,10,2023,58.96666666666667
63,3,128,7,2023,72.1
59,5,128,8,2023,77.87096774193549
40,4,256,2,2023,83.74193548387096
17,1,128,3,2023,84.67857142857143
12,9,256,12,2023,73.7
20,7,128,1,2023,0.0
178,1,256,5,2023,86.53333333333333
23,3,256,12,2023,74.53333333333333
17,8,128,6,2023,89.48387096774194
110,1,256,9,2023,95.54838709677419
143,2,256,12,2023,78.2
32,5,128,3,2023,78.35714285714286
147,4,256,9,2023,90.12903225806451
196,1,256,1,2023,0.0
41,5,128,9,2023,59.38709677419355
60,4,256,5,2023,84.0
109,1,256,6,2023,85.35483870967742
114,9,256,12,2023,73.7
103,2,128,8,2023,73.7741935483871
25,5,256,2,2023,97.87096774193549
110,10,256,3,2023,105.53571428571429
80,6,256,7,2023,76.76666666666667
63,8,128,8,2023,95.61290322580645
138,8,256,12,2023,95.6
51,8,256,10,2023,83.53333333333333
184,8,256,5,2023,86.3
23,5,256,8,2023,77.87096774193549
52,2,256,5,2023,73.53333333333333
29,2,128,6,2023,83.25806451612904
167,2,256,6,2023,83.25806451612904
23,9,128,1,2023,0.0
122,7,256,10,2023,73.3
110,7,128,11,2023,84.19354838709677
13,9,256,11,2023,78.45161290322581
65,6,128,5,2023,95.36666666666666
13,8,256,3,2023,86.14285714285714
211,1,256,8,2023,78.80645161290323
201,1,256,9,2023,95.54838709677419
190,6,256,1,2023,0.0
6,9,128,5,2023,69.3
81,2,128,1,2023,0.0
63,9,256,2,2023,86.58064516129032
98,6,128,12,2023,88.76666666666667
98,9,128,11,2023,78.45161290322581
136,4,256,6,2023,80.35483870967742
2,8,128,4,2023,82.6774193548387
30,9,128,12,2023,73.7
190,6,256,12,2023,88.76666666666667
72,7,256,9,2023,69.12903225806451
9,2,128,9,2023,85.09677419354838
30,8,256,6,2023,89.48387096774194
2,1,128,10,2023,71.93333333333334
